,Unnamed: 0,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1,Customer At Risk,Fee_Sw_Refe_ID
20,20,0,1,0,1418.4,4.0,7.0,0,1,23-04-2016,9.084375,18.85,11.06302083,11.22,1,34.04847904,40.68694499,80.5246875,85.18,28.70791667,31.6,1,0,0,30462,10499,30462-10499-6,ChippiChawl,20.53156605,74.88814254,30462_10499_21,42,30850_11936_244
21,21,0,1,7,1615.5,5.0,5.0,0,1,24-04-2016,156.0,208.24,10.9825,11.24,0,33.42459015,39.44511368,80.1521875,85.62,28.52385417,31.45,1,0,0,30462,10499,30462-10499-6,ZaveriBazaar,18.44047039,73.42128936,30462_10499_22,48,30850_11936_244
22,22,0,2,3,1380.0,16.0,32.0,1,1,28-04-2016,6.548229167,132.96,10.97885417,11.26,1,39.09205901,48.34911516,73.78604167,85.82,31.093125,34.82,1,0,0,30462,10499,30462-10499-6,Gaiwadi,19.28729719,74.39667087,30462_10499_23,47,30850_11936_244
23,23,1,0,0,1003.0,3.0,20.0,1,0,29-04-2016,0.078125,0.1,0.0,0.0,1,36.12257558,43.38753868,74.1734375,82.41,30.06697917,33.78,1,0,0,30462,10499,30462-10499-6,Pungeswari,20.53354629,73.76955075,30462_10499_24,35,30850_11936_244
24,24,0,2,7,1139.9,7.0,22.75098814229249,1,1,29-04-2016,11.13635417,144.21,10.9915625,11.28,1,36.12257558,43.38753868,74.1734375,82.41,30.06697917,33.78,1,0,0,30462,10499,30462-10499-6,Thakurdwar,19.06640252,73.72652756,30462_10499_25,48,30850_11936_244
25,25,1,0,0,920.6,5.0,20.0,1,0,29-04-2016,0.078125,0.1,0.0,0.0,1,36.12257558,43.38753868,74.1734375,82.41,30.06697917,33.78,1,0,0,30462,10501,10501-7990-2,LoharChawl,18.39908737,73.39217692,30462_10501_26,25,30850_11936_244
26,26,0,1,0,438.05,4.0,3.0,0,1,30-04-2016,30.32236559,39.42,11.01822917,11.23,0,37.76338687,45.48431684,82.98260417,92.52,29.884375,34.12,1,0,0,30462,10501,10501-7990-2,Bhangwadi,18.17946606,73.76857112,30462_10501_27,43,30850_11936_244
27,27,1,0,0,2173.8,11.0,15.0,1,0,01-05-2016,0.1,0.1,10.97885417,11.2,0,36.50485574,44.31631661,83.7559375,92.89,29.41020833,33.01,1,0,0,30462,10501,10501-7990-2,Bhangwadi,18.23256137,74.85841026,30462_10501_28,31,30850_11936_244
28,28,2,0,0,835.1,8.0,15.0,1,1,14-05-2016,42.11104167,56.42,11.071875,11.29,0,42.27717774,49.41314651,86.45104167,92.75,30.7840625,33.58,1,0,0,30462,10501,10501-7990-2,Sonapur,20.18969539,73.01927652,30462_10501_29,31,30462_10501_35
29,29,0,1,5,770.0,3.0,35.0,1,1,17-05-2016,46.58625,144.4,11.02416667,11.24,1,42.23034196,49.71246692,87.1221875,92.88,30.70635417,33.52,1,0,0,30462,10501,10501-7990-2,Kumbharwada,18.19779053,73.10623109,30462_10501_30,28,30462_10501_35
30,30,1,0,4,849.0,18.0,40.0,1,1,17-05-2016,8.475104167,202.88,11.05052083,11.25,1,42.23034196,49.71246692,87.1221875,92.88,30.70635417,33.52,1,0,0,30462,10501,10501-7990-2,ChippiChawl,20.86769334,73.24477199,30462_10501_31,49,30462_10501_35
31,31,0,0,7,550.0,10.0,15.0,1,0,20-05-2016,113.26,165.33,10.881875,11.13,0,43.71640551,50.88505653,84.516875,90.58,31.35739583,34.11,1,0,0,30462,10501,10501-7990-2,LoharChawl,19.46345045,73.18678816,30462_10501_32,33,30462_10501_35
32,32,0,1,0,960.0,4.0,6.0,0,1,21-05-2016,57.775,75.95,10.97197917,11.18,1,43.81713938,49.01716061,83.6084375,89.64,31.47979167,33.78,1,0,0,30462,10501,10501-7990-2,ChippiChawl,19.58462285,74.57927187,30462_10501_33,39,30462_10501_35
33,33,0,1,7,2300.0,14.0,10.0,0,1,24-05-2016,135.4734375,289.46,11.05270833,11.28,1,43.46514875,50.27764031,82.99791667,89.56,31.46270833,34.23,1,0,0,30462,10501,10501-7990-2,Chinchbunder,19.32312513,73.39991715,30462_10501_34,33,30850_11936_244
34,34,0,0,7,1250.0,9.571917808219178,30.0,1,1,26-05-2016,71.7546875,167.84,10.985,11.2,1,43.03405496,49.53002181,82.09375,87.32,31.42739583,34.19,1,0,0,30462,10501,10501-7990-2,DanaBandar,18.28707177,74.11705662,30462_10501_35,43,30850_11936_244
35,35,1,0,0,593.0,3.0,22.0,1,0,27-05-2016,18.46,18.46,11.02322917,11.23,0,42.34956794,49.03189411,81.31739583,88.75,31.3375,34.09,1,0,0,30462,10501,10501-7990-4,Pydhonie,19.72579444,73.78714763,30462_10501_36,35,30850_11936_244
36,36,1,0,5,849.0,18.0,40.0,1,1,28-05-2016,9.120416667,183.92,10.97947917,11.28,1,42.84830624,49.83049047,81.41697917,88.62,31.46895833,34.41,1,0,0,30462,10501,10501-7990-2,GulalWadi,18.24264652,74.7986677,30462_10501_37,26,30850_11936_244
37,37,2,0,7,1148.5,5.0,22.75098814229249,1,1,30-05-2016,156.0,178.81,11.0596875,11.34,0,42.84552268,49.03807418,80.96854167,88.21,31.51927083,33.85,1,0,0,30462,10501,10501-7990-5,Panjarpole,19.79729745,74.28916929,30462_10501_38,38,30850_11936_244
38,38,0,0,2,755.0,3.0,23.0,1,0,03-06-2016,5.897916667,145.33,10.26229167,11.34,1,42.19049084,47.85059743,78.8546875,86.06,31.59114583,34.59,1,0,0,30462,10501,10501-7990-2,MumbadeviArea,20.05049412,74.05481048,30462_10501_39,42,30850_11936_244
